#date=2022/01/30 18:19:41;source=MUSIALv2.0;reference=TP0479;samples=74
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	0	0	0	0	0	0
Q3	1	0	1	0	0	0
SHC-0	0	0	0	0	0	0
PT_SIF1348	0	0	0	0	0	0
PT_SIF0697	1	0	1	0	0	0
CZ33	0	0	0	0	0	0
PT_SIF1142	0	0	0	0	0	0
PT_SIF1020	1	0	1	0	0	0
PT_SIF1063	1	0	1	0	0	0
PT_SIF1140	1	0	1	0	0	0
PT_SIF1261	0	0	0	0	0	0
PT_SIF1183	1	0	1	0	0	0
GHA1	2	0	1	0	0	1
NE20	1	0	1	0	0	0
PT_SIF0877_3	0	0	0	0	0	0
A2_2	0	0	0	0	0	0
A2_1	0	0	0	0	0	0
GRA2	1	0	1	0	0	0
SHG-I2	1	0	1	0	0	0
AR2	1	0	1	0	0	0
SS14	1	0	1	0	0	0
SHD-R	1	0	1	0	0	0
PT_SIF1278	0	0	0	0	0	0
PT_SIF1156	0	0	0	0	0	0
PT_SIF1196	0	0	0	0	0	0
B3	0	0	0	0	0	0
NE17	0	0	0	0	0	0
NE19	0	0	0	0	0	0
NE12	0	0	0	0	0	0
NE13	0	0	0	0	0	0
NE14	1	0	1	0	0	0
NE15	1	0	1	0	0	0
SamoaD	0	0	0	0	0	0
PT_SIF0954	0	0	0	0	0	0
AU17	0	0	0	0	0	0
PT_SIF1127	1	0	1	0	0	0
AU15	0	0	0	0	0	0
AU16	1	0	1	0	0	0
PT_SIF0751	1	0	1	0	0	0
AU13	0	0	0	0	0	0
K3	0	0	0	0	0	0
BAL73	0	0	0	0	0	0
PT_SIF1002	1	0	1	0	0	0
PT_SIF1167	1	0	1	0	0	0
PT_SIF1200	1	0	1	0	0	0
PT_SIF1242	0	0	0	0	0	0
SW1	1	0	1	0	0	0
UW1	0	0	0	0	0	0
C3	1	0	1	0	0	0
PT_SIF1280	1	0	1	0	0	0
SW4	0	0	0	0	0	0
SW6	1	0	1	0	0	0
SW8	0	0	0	0	0	0
PT_SIF0908	0	0	0	0	0	0
Dallas	0	0	0	0	0	0
SEA86	0	0	0	0	0	0
CZ27	1	0	1	0	0	0
P3	1	0	1	0	0	0
Chicago	1	0	1	0	0	0
PT_SIF1135	1	0	1	0	0	0
MexicoA	0	0	0	0	0	0
PT_SIF1299	0	0	0	0	0	0
SHE-V	1	0	1	0	0	0
Seattle81	1	0	1	0	0	0
BosniaA	1	0	0	0	0	1
PT_SIF1252	0	0	0	0	0	0
Gauthier	1	0	1	0	0	0
NIC1	1	0	1	0	0	0
NIC2	0	0	0	0	0	0
CDC2	0	0	0	0	0	0
IND1	0	0	0	0	0	0
SAM1	1	0	1	0	0	0
BAL3	1	0	1	0	0	0
Fribourg	0	0	0	0	0	0
